tissue_id,spec_id,name,tissue_label,collection_id,catalog_num,collection,box_num,is_exhausted
,,Achirus achirus,Achirus_achirus_UMNSH16683,,16683,UMSNH,,FALSE
,,Citharoides macrolepis,Citharoides_macrolepis_KU2468,,2468,KU,,FALSE
,,Mulloidichthys dentatus,Mulloidichthys_dentatus_UMNSH8568,,8568,UMSNH,,FALSE
,,Lepidorhombus whiffiagonis,Lepidorhombus_whiffiagonis_KU3494,,3494,KU,,FALSE
,,Aulostomus maculatus,Aulostomus_maculatus_KU98,,98,KU,,FALSE
,,Dactyloptena orientalis,Dactyloptena_orientalis_KU745,,745,KU,,FALSE
,,Polydactylus approximans,Polydactylus_approximans_UMNSH10905,,10905,UMSNH,,FALSE
,,Achirus lineatus,Achirus_lineatus_KU5115,,5115,KU,,FALSE
,,Dactylopterus volitans,Dactylopterus_volitans_KU237,,237,KU,,FALSE
,,Auxis rochei,Auxis_rochei_KU5343,,5343,KU,,FALSE
,,Carangoides orthogrammus,Carangoides_orthogrammus_UMNSH35087,,35087,UMSNH,,FALSE
,,Auxis thazard,Auxis_thazard_KU5422,,5422,KU,,FALSE
,,Aulostomus maculatus,Aulostomus_maculatus_UMNSH13283,,13283,UMSNH,,FALSE
,,Coryphaena hippurus,Coryphaena_hippurus_UMNSH8410,,8410,UMSNH,,FALSE
,,Cubiceps pauciradiatus,Cubiceps_pauciradiatus_KU5306,,5306,KU,,FALSE
,,Aseraggodes xenicus,Aseraggodes_xenicus_KU5719,,5719,KU,,FALSE
,,Bothus constellatus,Bothus_constellatus_UMNSH13213,,13213,UMSNH,,FALSE
,,Fistularia corneta,Fistularia_corneta_UMNSH8447,,8447,UMSNH,,FALSE
,,Samariscus japonicus,Samariscus_japonicus_KU2469,,2469,KU,,FALSE
,,Aulostomus chinensis,Aulostomus_chinensis_KU728,,728,KU,,FALSE
,,Fistularia petimba,Fistularia_petimba_KU5089,,5089,KU,,FALSE
,,Scophthalmus aquosus,Scophthalmus_aquosus_KU1252,,1252,KU,,FALSE
,,Centropomus armatus,Centropomus_armatus_UMNSH25948,,25948,UMSNH,,FALSE
,,Heteromycteris japonicus,Heteromycteris_japonicus_KU2492,,2492,KU,,FALSE
,,Asterorhombus cocosensis,Asterorhombus_cocosensis_KU7102,,7102,KU,,FALSE
,,Cynoglossus interruptus,Cynoglossus_interruptus_KU2478,,2478,KU,,FALSE
,,Ancylopsetta ommata,Ancylopsetta_ommata_KU10,,10,KU,,FALSE
,,Sphyraena borealis,Sphyraena_borealis_UMNSH16904,,16904,UMSNH,,FALSE
,,Pterycombus brama,Pterycombus_brama_KU5315,,5315,KU,,FALSE
,,Nealotus tripes,Nealotus_tripes_KU3112,,3112,KU,,FALSE
,,Acanthocybium solandri,Acanthocybium_solandri_KU7184,,7184,KU,,FALSE
,,Bothus mancus,Bothus_mancus_UMNSH34382,,34382,UMSNH,,FALSE
,,Neoepinnula orientalis,Neoepinnula_orientalis_KU3994,,3994,KU,,FALSE
,,Aseraggodes heemstrai,Aseraggodes_heemstrai_KU4997,,4997,KU,,FALSE
,,Symphurus diomedeanus,Symphurus_diomedeanus_KU5147,,5147,KU,,FALSE
,,Sphyraena argentea,Sphyraena_argentea_UMNSH14629,,14629,UMSNH,,FALSE
,,Brama brama,Brama_brama_KU7456,,7456,KU,,FALSE
,,Dactyloptena peterseni,Dactyloptena_peterseni_KU5714,,5714,KU,,FALSE
,,Embassichthys bathybius,Embassichthys_bathybius_KU2269,,2269,KU,,FALSE
,,Peprilus paru,Peprilus_paru_KU1218,,1218,KU,,FALSE
,,Diplogrammus goramensis,Diplogrammus_goramensis_KU5681,,5681,KU,,FALSE
,,Makaira nigricans,Makaira_nigricans_KU5430,,5430,KU,,FALSE
,,Lepidorhombus boscii,Lepidorhombus_boscii_KU3496,,3496,KU,,FALSE
,,Taractichthys longipinnis,Taractichthys_longipinnis_KU5403,,5403,KU,,FALSE
,,Parupeneus procerigena,Parupeneus_procerigena_KU6817,,6817,KU,,FALSE
,,Sphyraena barracuda,Sphyraena_barracuda_UMNSH16321,,16321,UMSNH,,FALSE
,,Paradiplospinus antarcticus,Paradiplospinus_antarcticus_KU925,,925,KU,,FALSE
,,Benthodesmus simonyi,Benthodesmus_simonyi_KU3560,,3560,KU,,FALSE
,,Callionymus delicatulus,Callionymus_delicatulus_KU7248,,7248,KU,,FALSE
,,Echeneis naucrates,Echeneis_naucrates_UMNSH34530,,34530,UMSNH,,FALSE
,,Polydactylus virginicus,Polydactylus_virginicus_UMNSH31809,,31809,UMSNH,,FALSE
,,Halicampus crinitus,Halicampus_crinitus_KU91,,91,KU,,FALSE
,,Atule mate,Atule_mate_KU7225,,7225,KU,,FALSE
,,Mulloidichthys martinicus,Mulloidichthys_martinicus_UMNSH16991,,16991,UMSNH,,FALSE
,,Aseraggodes kobensis,Aseraggodes_kobensis_KU2476,,2476,KU,,FALSE
,,Synchiropus agassizii,Synchiropus_agassizii_KU8396,,8396,KU,,FALSE
,,Psenes pellucidus,Psenes_pellucidus_KU5933,,5933,KU,,FALSE
,,Syngnathus caribbaeus,Syngnathus_caribbaeus_UMNSH16822,,16822,UMSNH,,FALSE
,,Parupeneus cyclostomus,Parupeneus_cyclostomus_KU6884,,6884,KU,,FALSE
,,Seriola zonata,Seriola_zonata_KU3522,,3522,KU,,FALSE
,,Alectis ciliaris,Alectis_ciliaris_UMNSH16987,,16987,UMSNH,,FALSE
,,Fistularia commersonii,Fistularia_commersonii_UMNSH8195,,8195,UMSNH,,FALSE
,,Pomatomus saltatrix,Pomatomus_saltatrix_KU1250,,1250,KU,,FALSE
,,Xiphias gladius,Xiphias_gladius_UMNSH25970,,25970,UMSNH,,FALSE
,,Schedophilus medusophagus,Schedophilus_medusophagus_KU5302,,5302,KU,,FALSE
,,Psenes cyanophrys,Psenes_cyanophrys_KU5305,,5305,KU,,FALSE
,,Gymnachirus texae,Gymnachirus_texae_KU3932,,3932,KU,,FALSE
,,Carangoides ruber,Carangoides_ruber_UMNSH14130,,14130,UMSNH,,FALSE
,,Citharichthys gilberti,Citharichthys_gilberti_UMNSH10670,,10670,UMSNH,,FALSE
,,Gymnachirus melas,Gymnachirus_melas_KU5187,,5187,KU,,FALSE
,,Citharichthys spilopterus,Citharichthys_spilopterus_KU2,,2,KU,,FALSE
,,Bothus robinsi,Bothus_robinsi_KU1169,,1169,KU,,FALSE
,,Icichthys lockingtoni,Icichthys_lockingtoni_KU2396,,2396,KU,,FALSE
,,Gempylus serpens,Gempylus_serpens_KU5421,,5421,KU,,FALSE
,,Plagiopsetta glossa,Plagiopsetta_glossa_KU2474,,2474,KU,,FALSE
,,Bothus pantherinus,Bothus_pantherinus_KU5642,,5642,KU,,FALSE
,,Centropomus medius,Centropomus_medius_UMNSH8476,,8476,UMSNH,,FALSE
,,Ancylopsetta dilecta,Ancylopsetta_dilecta_KU5129,,5129,KU,,FALSE
,,Peprilus burti,Peprilus_burti_KU3909,,3909,KU,,FALSE
,,Centropomus medius,Centropomus_medius_KU8499,,8499,KU,,FALSE
,,Isopsetta isolepis,Isopsetta_isolepis_KU431,,431,KU,,FALSE
,,Bothus ocellatus,Bothus_ocellatus_UMNSH29267,,29267,UMSNH,,FALSE
,,Lepidopsetta bilineata,Lepidopsetta_bilineata_KU3230,,3230,KU,,FALSE
,,Centropomus ensiferus,Centropomus_ensiferus_UMNSH16600,,16600,UMSNH,,FALSE
,,Istiophorus platypterus,Istiophorus_platypterus_KU5428,,5428,KU,,FALSE
,,Acanthocybium solandri,Acanthocybium_solandri_UMNSH36834,,36834,UMSNH,,FALSE
,,Achirus achirus,Achirus_achirus_UMNSH10868,,10868,UMSNH,,FALSE
,,Symphurus plagiusa,Symphurus_plagiusa_KU1061,,1061,KU,,FALSE
,,Hippoglossus hippoglossus,Hippoglossus_hippoglossus_KU5417,,5417,KU,,FALSE
,,Hippocampus erectus,Hippocampus_erectus_UMNSH28877,,28877,UMSNH,,FALSE
,,Symphurus civitatium,Symphurus_civitatium_KU5106,,5106,KU,,FALSE
,,Polydactylus oligodon,Polydactylus_oligodon_UMNSH28884,,28884,UMSNH,,FALSE
,,Synchiropus splendidus,Synchiropus_splendidus_KU48,,48,KU,,FALSE
,,Polydactylus opercularis,Polydactylus_opercularis_UMNSH23237,,23237,UMSNH,,FALSE